,type,dates,catalogue_link,result_link,id
0,Frühjahrs-Auktionen,Frühjahrs-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S21-01.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S21-01.pdf,21-01
1,Herbst-Auktionen,Herbst-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S21-03.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S21_03.pdf,21_03
2,Sommer-Auktionen,Sommer-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S21-02_01.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S21-02.pdf,21-02
3,Winter-Auktionen,Winter-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S21-04.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S21_04.pdf,21_04
4,Frühjahrs-Auktionen,Frühjahrs-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S20-01.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S20-01.pdf,20-01
5,Herbst-Auktionen,Herbst-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S20-03.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S20-03.pdf,20-03
6,Sommer-Auktionen,Sommer-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S20-02.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S20-02.pdf,20-02
7,Winter-Auktionen,Winter-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S20-04.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S20-04.pdf,20-04
8,Frühjahrs-Auktionen,Frühjahrs-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S19_01.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S19-01.pdf,19-01
9,Herbst-Auktionen,Herbst-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S19-03.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S19-03.pdf,19-03
10,Sommer-Auktionen,Sommer-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S19-02.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S19-02.pdf,19-02
11,Winter-Auktionen,Winter-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S19-04.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S19-04.pdf,19-04
12,Frühjahrs-Auktionen,Frühjahrs-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S18-01.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S18-01.pdf,18-01
13,Herbst-Auktionen,Herbst-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S18-03.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S18-03.pdf,18-03
14,Sommer-Auktionen,Sommer-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S18-02.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S18-02.pdf,18-02
15,Winter-Auktionen,Winter-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S18-04.pdf,/fileadmin/user_upload/api/kataloge/sga/Ergebnisliste_S18-04.pdf,18-04
16,Frühjahrs-Auktionen,Frühjahrs-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S17-01.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste__fuer_Kunden__2017-1.pdf,2017-1
17,Herbst-Auktionen,Herbst-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S17-03.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste_2017-3.pdf,2017-3
18,Sommer-Auktionen,Sommer-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S17-02.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste_2017-2.pdf,2017-2
19,Winter-Auktionen,Winter-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S17-04.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste_2017-4.pdf,2017-4
20,Frühjahrs-Auktionen,Frühjahrs-Auktionen,/fileadmin/user_upload/api/kataloge/sga/Katalog_S16-01.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste_2016-1__fuer_Kunden_.pdf,2016-1
21,Herbst-Auktionen,Herbst-Auktionen,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Katalog_SGA_03-2016.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste_2016-3.pdf,2016-3
22,Sommer-Auktionen,Sommer-Auktionen,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Katalog_SGA_02-2016_01.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste_2016-2__fuer_Kunden_.pdf,2016-2
23,Winter-Auktionen,Winter-Auktionen,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Katalog_SGA_04-2016.pdf,/fileadmin/user_upload/sga-ag.de/ergebnisse/katalogarchiv/pdf/Ergebnisliste_2016-4.pdf,2016-4
